episode,step,time,alpha,alpha_error,theta,alpha_dot,theta_dot,action_voltage,reward,episode_reward,best_reward,done
0,0,0.004029035568237305,2.9084275738311756,-0.2331650797586171,0.1718058482431918,4.27009309458611,-3.1605883201627867,0.0,70.25560897560536,70.25560897560536,-inf,False
0,1,0.00814509391784668,2.9268353432858034,-0.21475731030398926,0.1564660403643354,3.454449915868034,-2.6241018043482818,-5.8,70.17033697482934,140.4259459504347,-inf,False
0,2,0.012087821960449219,2.9483110743162024,-0.1932815792735907,0.1380582709097077,3.0931025394804372,-2.435643377632809,-1.7400000000000002,70.11055112144633,210.53649707188106,-inf,False
0,3,0.016109466552734375,2.96671884377083,-0.17487380981896372,0.11965050145508001,2.71473853767554,-2.2939646740930697,-2.9,70.0450805188417,280.58157759072276,-inf,False
0,4,0.020009279251098633,2.9912625363770005,-0.15033011721279266,0.10124273200045232,2.7582257020737924,-2.233732169890638,1.7399999999999993,69.9768438781388,350.5584214688615,-inf,False
0,5,0.023653268814086914,3.009670305831628,-0.1319223477581648,0.08283496254582462,2.576894496005252,-2.2412186354080457,1.7399999999999993,69.92340297586222,420.48182444472377,-inf,False
0,6,0.027181386947631836,3.021942152134713,-0.11965050145508016,0.0674951546669682,2.214360970287976,-2.1408155427169193,-1.1600000000000001,69.89051786876747,490.37234231349123,-inf,False
0,7,0.031029462814331055,3.040349921589341,-0.1012427320004523,0.04908738521234052,2.185221456177001,-2.138152382531518,-4.64,69.84351198118236,560.2158542946736,-inf,False
0,8,0.03510165214538574,3.06182565261974,-0.07976700097005285,0.030679615757712823,2.2504785986203744,-2.098649124820536,3.4799999999999995,69.81155227608298,630.0274065707565,-inf,False
0,9,0.039029598236083984,3.077165460498596,-0.0644271930911966,0.01227184630308513,2.072386977960772,-2.10163224969763,-2.9,69.79090178746173,699.8183083582182,-inf,False
0,10,0.04298996925354004,3.098641191528995,-0.04295146206079803,-0.006135923151542565,2.2064129475394028,-2.0994034526446317,1.1599999999999993,69.76870799807341,769.5870163562917,-inf,False
0,11,0.04701972007751465,3.113980999407852,-0.027611654181940892,-0.02761165418194154,2.0239375808334974,-2.20018482186414,-5.22,69.74219002232218,839.3292063786139,-inf,False
0,12,0.05100584030151367,3.138524692014022,-0.003067961575771605,-0.04908738521234052,2.2927270457591598,-2.280849405765559,3.4799999999999995,69.73088620674089,909.0600925853548,-inf,False
0,13,0.05510854721069336,3.150796538317107,0.009203884727313927,-0.05829126993965436,1.948334826813914,-1.8204857578359979,4.06,69.72530738113322,978.7853999664881,-inf,False
0,14,0.058541059494018555,3.172272269347506,0.030679615757712497,-0.0859029241215959,2.253147345057774,-2.458813385453868,-5.22,69.71152942266761,1048.4969293891556,-inf,False
0,15,0.06217789649963379,3.1876120772263623,0.046019423636568746,-0.09817477042468103,2.1197547494234295,-2.115832925559644,4.64,69.71280134655774,1118.2097307357135,-inf,False
0,16,0.06617116928100586,3.20601984668099,0.0644271930911966,-0.11351457830353745,2.1039390693494533,-1.9768797637902153,4.06,69.71920857606159,1187.9289393117751,-inf,False
